Date,US - SPX,SPX,SPX ma50,SPX ma100,SPX ma200
2025-11-26,6812.60986328125,6812.60986328125,6720.633994140625,6563.636484375,6173.3600390625
2025-11-28,6849.08984375,6849.08984375,6724.976591796875,6569.49478515625,6177.345637207031
2025-12-01,6812.6298828125,6812.6298828125,6727.9419921875,6574.816484375,6180.8334375
2025-12-02,6829.3701171875,6829.3701171875,6730.65439453125,6580.512685546875,6184.407138671875
2025-12-03,6849.72021484375,6849.72021484375,6734.510400390625,6586.324287109375,6188.007839355469
2025-12-04,6857.1201171875,6857.1201171875,6738.8933984375,6592.457890625,6191.572690429687
2025-12-05,6870.39990234375,6870.39990234375,6744.2069921875,6598.524887695313,6195.33708984375
2025-12-08,6846.509765625,6846.509765625,6748.26318359375,6604.01638671875,6199.5039892578125
2025-12-09,6840.509765625,6840.509765625,6751.8491796875,6609.453583984375,6203.790288085937
2025-12-10,6886.68017578125,6886.68017578125,6755.813583984375,6615.264384765625,6208.447438964844
2025-12-11,6901.0,6901.0,6759.609580078125,6621.17818359375,6213.172138671875
2025-12-12,6827.41015625,6827.41015625,6761.85078125,6625.86318359375,6218.001340332031
2025-12-15,6816.509765625,6816.509765625,6763.86517578125,6630.394780273437,6222.311389160156
2025-12-16,6800.259765625,6800.259765625,6765.064775390625,6634.5109765625,6227.064086914063
2025-12-17,6721.43017578125,6721.43017578125,6765.20158203125,6637.827578125,6231.78048828125
2025-12-18,6774.759765625,6774.759765625,6765.622373046875,6641.8665771484375,6236.441137695312
2025-12-19,6834.5,6834.5,6767.61017578125,6646.582578125,6241.921037597656
2025-12-22,6878.490234375,6878.490234375,6774.12978515625,6651.973579101563,6247.462487792969
2025-12-23,6909.7900390625,6909.7900390625,6779.231181640625,6658.691381835937,6253.9386376953125
2025-12-24,6932.0498046875,6932.0498046875,6784.9859765625,6664.71248046875,6260.738537597656
2025-12-26,6929.93994140625,6929.93994140625,6790.16357421875,6671.01998046875,6267.39173828125
2025-12-29,6905.740234375,6905.740234375,6795.696982421875,6676.626782226563,6274.312839355469
2025-12-30,6896.240234375,6896.240234375,6800.341591796875,6682.189184570312,6280.599340820312
2025-12-31,6845.5,6845.5,6802.548994140625,6686.749682617187,6286.451240234375
2026-01-02,6858.47021484375,6858.47021484375,6805.011396484375,6691.5998828125,6292.670290527344
2026-01-05,6902.0498046875,6902.0498046875,6809.06439453125,6696.162783203125,6298.804089355469
2026-01-06,6944.81982421875,6944.81982421875,6813.1919921875,6700.945180664063,6305.2137377929685
2026-01-07,6920.93017578125,6920.93017578125,6815.776796875,6705.46908203125,6311.480588378906
2026-01-08,6921.4599609375,6921.4599609375,6816.70279296875,6710.18568359375,6317.2500390625
2026-01-09,6966.27978515625,6966.27978515625,6818.2105859375,6715.356982421875,6323.198188476563
2026-01-12,6977.27001953125,6977.27001953125,6819.944189453125,6721.015981445313,6329.523537597656
2026-01-13,6963.740234375,6963.740234375,6822.772197265625,6726.6955859375,6335.875688476563
2026-01-14,6926.60009765625,6926.60009765625,6824.5001953125,6732.2598876953125,6342.603989257813
2026-01-15,6944.47021484375,6944.47021484375,6826.3501953125,6737.03548828125,6349.26708984375
2026-01-16,6940.009765625,6940.009765625,6829.71939453125,6742.042387695313,6355.801789550781
2026-01-20,6796.85986328125,6796.85986328125,6829.730791015625,6745.351586914063,6361.431237792969
2026-01-21,6875.6201171875,6875.6201171875,6832.836796875,6749.2937890625,6368.82673828125
2026-01-22,6913.35009765625,6913.35009765625,6836.527802734375,6753.40869140625,6378.023088378906
2026-01-23,6915.60986328125,6915.60986328125,6838.191396484375,6757.962192382813,6387.289887695312
2026-01-26,6950.22998046875,6950.22998046875,6840.263798828125,6763.309091796875,6397.1271875
2026-01-27,6978.60009765625,6978.60009765625,6842.81740234375,6768.612495117188,6404.735688476562
2026-01-28,6978.02978515625,6978.02978515625,6847.628193359375,6773.3719921875,6413.285588378906
2026-01-29,6969.009765625,6969.009765625,6852.32619140625,6778.24708984375,6421.313837890625
2026-01-30,6939.02978515625,6939.02978515625,6857.658583984375,6782.685888671875,6428.979135742187
2026-02-02,6976.43994140625,6976.43994140625,6864.840986328125,6787.324189453125,6436.878186035156
2026-02-03,6917.81005859375,6917.81005859375,6870.353984375,6791.181889648437,6445.088735351563
2026-02-04,6882.72021484375,6882.72021484375,6877.233193359375,6794.134389648438,6453.088835449219
2026-02-05,6798.39990234375,6798.39990234375,6881.14138671875,6796.27548828125,6461.289833984375
2026-02-06,6932.2998046875,6932.2998046875,6885.68498046875,6799.445688476562,6469.512534179688
2026-02-09,6964.81982421875,6964.81982421875,6889.663779296875,6803.0262890625,6477.457333984375
2026-02-10,6941.81005859375,6941.81005859375,6892.247783203125,6806.440888671875,6484.742534179688
2026-02-11,6941.47021484375,6941.47021484375,6894.095390625,6809.535991210938,6491.823835449219
2026-02-12,6832.759765625,6832.759765625,6894.49798828125,6811.219990234375,6498.343884277344
2026-02-13,6836.169921875,6836.169921875,6894.633984375,6812.644189453125,6504.720583496094
